type,middle_layers,learning_rate,weight_decay,momentum
Relu,1000,0.005,0.0001,0.9
iter_counter,loss_list,acc_list
50,0.0388,0.5046
100,0.0273,0.7622
150,0.0236,0.8008
200,0.0217,0.8324
250,0.0203,0.8442
300,0.0192,0.8528
350,0.0186,0.8642
400,0.0175,0.8646
450,0.0168,0.8696
500,0.0153,0.885
550,0.0147,0.879
600,0.0141,0.894
50,0.0134,0.8966
100,0.0134,0.8854
150,0.0121,0.9068
200,0.0115,0.9096
250,0.012,0.9014
300,0.0112,0.9148
350,0.0108,0.914
400,0.011,0.9122
450,0.0106,0.9152
500,0.0104,0.9162
550,0.0099,0.9226
600,0.0099,0.9204
50,0.0098,0.9192
100,0.0093,0.9276
150,0.0093,0.9302
200,0.0091,0.9296
250,0.009,0.9318
300,0.009,0.9298
350,0.0089,0.9284
400,0.0088,0.9336
450,0.009,0.9264
500,0.0087,0.931
550,0.0087,0.9352
600,0.0086,0.9388
50,0.0083,0.9348
100,0.0084,0.934
150,0.0082,0.9404
200,0.0077,0.95
250,0.008,0.9416
300,0.0079,0.943
350,0.0078,0.9414
400,0.0077,0.942
450,0.0079,0.9378
500,0.0078,0.9392
550,0.0076,0.947
600,0.0075,0.9452
50,0.0072,0.9492
100,0.0074,0.9472
150,0.0075,0.9446
200,0.0073,0.9472
250,0.0071,0.9484
300,0.0073,0.9486
350,0.0073,0.947
400,0.0069,0.9526
450,0.0069,0.9516
500,0.007,0.9518
550,0.0071,0.9506
600,0.0068,0.9542
50,0.0069,0.9522
100,0.0069,0.9512
150,0.0069,0.9522
200,0.0066,0.957
250,0.0065,0.959
300,0.0066,0.9544
350,0.0063,0.9582
400,0.0066,0.9544
450,0.0067,0.9474
500,0.0065,0.9578
550,0.0067,0.9526
600,0.0062,0.9564
50,0.0064,0.9566
100,0.0062,0.9596
150,0.0065,0.9564
200,0.0063,0.9558
250,0.0063,0.9584
300,0.0062,0.9588
350,0.0061,0.9618
400,0.006,0.9614
450,0.0058,0.9658
500,0.0061,0.9628
550,0.0062,0.9584
600,0.0061,0.958
50,0.006,0.9588
100,0.0058,0.9622
150,0.0057,0.963
200,0.0059,0.961
250,0.006,0.959
300,0.0059,0.9656
350,0.0057,0.9606
400,0.0058,0.963
450,0.0059,0.962
500,0.0059,0.9616
550,0.0058,0.963
600,0.0057,0.9628
50,0.0056,0.962
100,0.0057,0.9646
150,0.0056,0.9654
200,0.0057,0.965
250,0.0054,0.968
300,0.0056,0.9622
350,0.0057,0.9618
400,0.0053,0.9686
450,0.0055,0.9658
500,0.0055,0.9644
550,0.0054,0.9654
600,0.0056,0.9658
50,0.0053,0.9674
100,0.0052,0.9678
150,0.0056,0.9676
200,0.0053,0.9672
250,0.0053,0.968
300,0.0054,0.9652
350,0.0052,0.9684
400,0.0052,0.968
450,0.0053,0.9634
500,0.0054,0.966
550,0.0053,0.965
600,0.0052,0.9708
50,0.0054,0.969
100,0.0051,0.9682
150,0.0053,0.9666
200,0.0051,0.9702
250,0.0052,0.9686
300,0.0051,0.9686
350,0.0051,0.968
400,0.005,0.9722
450,0.0051,0.9684
500,0.0049,0.9682
550,0.0049,0.97
600,0.005,0.9732
50,0.0048,0.9718
100,0.0051,0.9666
150,0.0048,0.9742
200,0.0049,0.9704
250,0.0049,0.9712
300,0.0048,0.9722
350,0.0051,0.9718
400,0.005,0.9654
450,0.0047,0.972
500,0.0048,0.9714
550,0.0051,0.9672
600,0.0049,0.9732
50,0.0049,0.9702
100,0.0047,0.9736
150,0.0047,0.9716
200,0.005,0.9706
250,0.005,0.9694
300,0.0047,0.9746
350,0.0047,0.9714
400,0.0046,0.9726
450,0.0047,0.9728
500,0.0046,0.9738
550,0.0044,0.974
600,0.0046,0.9746
50,0.0047,0.9744
100,0.0047,0.9702
150,0.0046,0.9734
200,0.0047,0.969
250,0.0047,0.9702
300,0.0044,0.9766
350,0.0046,0.975
400,0.0045,0.973
450,0.0045,0.9728
500,0.0045,0.9732
550,0.0044,0.9784
600,0.0045,0.9758
50,0.0045,0.9734
100,0.0043,0.9746
150,0.0045,0.976
200,0.0042,0.9788
250,0.0045,0.9736
300,0.0046,0.9736
350,0.0044,0.976
400,0.0044,0.9728
450,0.0043,0.9788
500,0.0045,0.9732
550,0.0045,0.9756
600,0.0043,0.9744
50,0.0043,0.9746
100,0.0042,0.9804
150,0.0042,0.9736
200,0.0043,0.9758
250,0.0042,0.9764
300,0.0045,0.9724
350,0.0042,0.9778
