type,middle_layers,learning_rate,weight_decay,momentum
Relu,500,0.005,0.0001,0.9
iter_counter,loss_list,acc_list
50,0.0463,0.1802
100,0.0446,0.1776
150,0.0441,0.3762
200,0.0432,0.489
250,0.0413,0.4356
300,0.038,0.4922
350,0.0349,0.517
400,0.0322,0.5772
450,0.0298,0.6528
500,0.0277,0.6872
550,0.0263,0.7292
600,0.0247,0.7566
50,0.0235,0.771
100,0.0222,0.773
150,0.0211,0.7826
200,0.0201,0.7916
250,0.0187,0.8174
300,0.0181,0.8276
350,0.0176,0.835
400,0.0164,0.859
450,0.0159,0.8662
500,0.0152,0.8742
550,0.0148,0.8764
600,0.0137,0.8866
50,0.0132,0.8874
100,0.0125,0.9032
150,0.0125,0.8912
200,0.0121,0.897
250,0.0118,0.9
300,0.0115,0.902
350,0.0114,0.8966
400,0.0112,0.899
450,0.0107,0.9036
500,0.0107,0.9
550,0.0103,0.9108
600,0.0103,0.9106
50,0.0101,0.9088
100,0.0095,0.9134
150,0.0098,0.9076
200,0.0091,0.918
250,0.0096,0.9146
300,0.0094,0.9146
350,0.0092,0.913
400,0.0089,0.9156
450,0.0088,0.9194
500,0.0087,0.9198
550,0.0085,0.9206
600,0.0084,0.923
50,0.0081,0.9248
100,0.0083,0.9214
150,0.0082,0.9212
200,0.0081,0.9242
250,0.0082,0.9232
300,0.0077,0.9356
350,0.0081,0.9264
400,0.0081,0.9248
450,0.0074,0.9298
500,0.0075,0.9298
550,0.0074,0.9326
600,0.0073,0.9348
50,0.0072,0.935
100,0.0071,0.9364
150,0.0068,0.9384
200,0.007,0.934
250,0.0073,0.931
300,0.007,0.9358
350,0.0065,0.9452
400,0.0071,0.9318
450,0.0068,0.9364
500,0.0068,0.9384
550,0.0067,0.939
600,0.0067,0.943
50,0.0065,0.9376
100,0.0064,0.9442
150,0.0064,0.9382
200,0.0062,0.9446
250,0.0062,0.9464
300,0.0058,0.9528
350,0.0062,0.9428
400,0.0063,0.938
450,0.0061,0.9434
500,0.0057,0.9496
550,0.0056,0.9524
600,0.0059,0.9468
50,0.0059,0.947
100,0.0056,0.9496
150,0.0056,0.9514
200,0.0056,0.9482
250,0.0057,0.946
300,0.0053,0.955
350,0.0054,0.9544
400,0.0053,0.9498
450,0.0055,0.948
500,0.0054,0.9542
550,0.0052,0.955
600,0.0057,0.9464
50,0.0053,0.9496
100,0.0051,0.9566
150,0.0051,0.9556
200,0.0051,0.9566
250,0.0049,0.9568
300,0.0049,0.9564
350,0.005,0.9548
400,0.005,0.9566
450,0.0051,0.9532
500,0.0049,0.9554
550,0.0048,0.9562
600,0.0048,0.9594
50,0.0045,0.9622
100,0.0047,0.9588
150,0.0047,0.9594
200,0.0045,0.9634
250,0.0047,0.957
300,0.0046,0.96
350,0.0045,0.9598
400,0.0044,0.9602
450,0.0047,0.9576
500,0.0045,0.9612
550,0.0046,0.9594
600,0.0046,0.958
50,0.0044,0.9602
100,0.0043,0.9652
150,0.0042,0.964
200,0.0045,0.9622
250,0.0042,0.9628
300,0.0042,0.9652
350,0.0042,0.9646
400,0.0041,0.9622
450,0.0042,0.9642
500,0.0042,0.9632
550,0.004,0.9648
600,0.0042,0.9624
50,0.0041,0.9626
100,0.0041,0.9636
150,0.0041,0.9646
200,0.0039,0.9678
250,0.0039,0.9668
300,0.0041,0.9672
350,0.004,0.968
400,0.0038,0.9704
450,0.0039,0.9648
500,0.0039,0.9664
550,0.0037,0.9714
600,0.0038,0.9662
50,0.0038,0.9688
100,0.0036,0.971
150,0.0038,0.9674
200,0.0037,0.9696
250,0.0039,0.9668
300,0.0038,0.9652
350,0.0037,0.9694
400,0.0037,0.9678
450,0.0034,0.9708
500,0.0036,0.9702
550,0.0037,0.9676
600,0.0036,0.972
50,0.0036,0.9702
100,0.0035,0.9732
150,0.0036,0.969
200,0.0036,0.9712
250,0.0036,0.9712
300,0.0036,0.9708
350,0.0034,0.9724
400,0.0034,0.9726
450,0.0033,0.9726
500,0.0034,0.974
550,0.0034,0.9708
600,0.0036,0.9682
50,0.0034,0.9714
100,0.0034,0.9714
150,0.0033,0.9732
200,0.0035,0.9706
250,0.0034,0.9726
300,0.0032,0.9748
350,0.0033,0.9748
400,0.0032,0.9768
450,0.0033,0.9724
500,0.0033,0.973
550,0.0033,0.9742
600,0.0031,0.975
50,0.0033,0.9738
100,0.0033,0.9742
150,0.0031,0.9762
200,0.0033,0.9716
250,0.0029,0.9804
300,0.0033,0.969
350,0.003,0.9758
400,0.0032,0.9734
450,0.0032,0.9728
500,0.0033,0.973
550,0.003,0.9782
600,0.003,0.9764
50,0.0028,0.98
100,0.0032,0.9754
150,0.0031,0.974
200,0.0032,0.9746
250,0.003,0.9764
300,0.0029,0.9792
350,0.0028,0.9808
400,0.0032,0.974
450,0.0027,0.9806
500,0.0029,0.9748
550,0.0032,0.9722
600,0.0031,0.974
50,0.0031,0.975
100,0.0029,0.9788
150,0.0028,0.9784
200,0.0029,0.9786
250,0.0027,0.9796
300,0.0029,0.978
350,0.0028,0.9762
400,0.0029,0.9774
450,0.0028,0.9774
500,0.0029,0.9764
550,0.0029,0.9772
600,0.003,0.9754
50,0.0028,0.9772
100,0.0027,0.9798
150,0.0025,0.9814
200,0.0027,0.9822
250,0.0029,0.9764
300,0.0028,0.975
350,0.003,0.9748
400,0.0027,0.9808
450,0.003,0.9774
500,0.0027,0.98
550,0.0028,0.9786
600,0.0026,0.9812
50,0.0026,0.9804
100,0.0027,0.979
150,0.0026,0.9818
200,0.0029,0.9764
250,0.0025,0.9812
300,0.0025,0.9794
350,0.0026,0.9772
400,0.0027,0.9804
450,0.0026,0.9812
500,0.0027,0.9798
550,0.0027,0.9776
600,0.0027,0.9792
50,0.0025,0.9814
100,0.0026,0.9794
150,0.0025,0.9802
200,0.0026,0.9806
250,0.0028,0.9764
300,0.0027,0.9808
350,0.0024,0.9826
400,0.0027,0.9774
450,0.0025,0.9822
500,0.0024,0.9838
550,0.0023,0.982
600,0.0026,0.9804
50,0.0024,0.9818
100,0.0025,0.9806
150,0.0026,0.9806
200,0.0024,0.9822
250,0.0024,0.9832
300,0.0024,0.982
350,0.0026,0.9818
400,0.0026,0.9806
450,0.0024,0.9834
500,0.0025,0.9792
550,0.0025,0.9804
600,0.0024,0.981
50,0.0023,0.984
100,0.0024,0.9842
150,0.0023,0.9822
200,0.0025,0.98
250,0.0025,0.981
300,0.0025,0.9796
350,0.0023,0.9836
400,0.0024,0.9838
450,0.0024,0.9828
500,0.0024,0.983
550,0.0023,0.9838
600,0.0024,0.9808
50,0.0024,0.9842
100,0.0022,0.9842
150,0.0024,0.983
200,0.0023,0.9842
250,0.0025,0.9814
300,0.0021,0.9842
350,0.0024,0.9832
400,0.0023,0.983
450,0.0023,0.9828
500,0.0024,0.982
550,0.0023,0.9812
600,0.0023,0.9842
50,0.0021,0.9864
100,0.0023,0.9816
150,0.0024,0.9824
200,0.0023,0.9832
250,0.0024,0.9832
300,0.0022,0.9858
350,0.0022,0.9846
400,0.0022,0.9846
450,0.0022,0.9852
500,0.0023,0.9844
550,0.0023,0.985
600,0.0022,0.9844
50,0.0023,0.9842
100,0.0023,0.9828
150,0.0022,0.985
200,0.0021,0.9868
250,0.0022,0.9832
300,0.0022,0.9844
350,0.0024,0.9808
400,0.0021,0.9854
450,0.0021,0.986
500,0.0021,0.9848
550,0.0022,0.9826
600,0.0019,0.9898
50,0.0022,0.9846
100,0.0021,0.9868
150,0.0022,0.9848
200,0.0021,0.9886
250,0.002,0.9848
300,0.0021,0.9848
350,0.0021,0.9868
400,0.0021,0.9862
450,0.0021,0.9864
500,0.0021,0.9858
550,0.0022,0.9842
600,0.0022,0.9836
50,0.002,0.987
100,0.002,0.9884
150,0.0021,0.9842
200,0.0021,0.9852
250,0.0021,0.987
300,0.0021,0.9862
350,0.0021,0.9846
400,0.002,0.9876
450,0.002,0.986
500,0.0022,0.984
550,0.0021,0.9858
600,0.0021,0.9868
50,0.0019,0.989
100,0.0019,0.9866
150,0.002,0.9884
200,0.0021,0.9864
250,0.0019,0.988
300,0.0021,0.9856
350,0.0021,0.9848
400,0.0022,0.9842
450,0.0021,0.9868
500,0.0021,0.9832
550,0.0019,0.9878
600,0.0019,0.9888
50,0.002,0.985
100,0.0018,0.9902
150,0.0021,0.9852
200,0.0018,0.9898
250,0.0018,0.989
300,0.0019,0.9856
350,0.0021,0.9854
400,0.002,0.9868
450,0.0019,0.989
500,0.002,0.986
550,0.002,0.9868
600,0.002,0.9854
50,0.002,0.988
100,0.0018,0.9884
150,0.0019,0.9868
200,0.002,0.9868
250,0.0019,0.9854
300,0.0019,0.988
350,0.0018,0.9892
400,0.0019,0.9872
450,0.0019,0.9872
500,0.0019,0.986
550,0.0018,0.9884
600,0.0019,0.9876
50,0.0017,0.9894
100,0.002,0.9864
150,0.0019,0.987
200,0.0019,0.9886
250,0.0019,0.986
300,0.002,0.9858
350,0.0018,0.9892
400,0.0018,0.9878
450,0.0018,0.9878
500,0.0018,0.9902
550,0.0018,0.9892
600,0.0019,0.9864
50,0.0018,0.9892
100,0.0018,0.9888
150,0.0018,0.989
200,0.0017,0.991
250,0.0018,0.9898
300,0.002,0.9862
350,0.0018,0.9882
400,0.0019,0.9878
450,0.0018,0.9866
500,0.0019,0.987
550,0.0018,0.9878
600,0.0018,0.988
50,0.0018,0.9906
100,0.0017,0.9892
150,0.0017,0.9902
200,0.0018,0.9878
250,0.0019,0.9886
300,0.0016,0.99
350,0.0018,0.9886
400,0.0017,0.9882
450,0.0018,0.9898
500,0.002,0.986
550,0.0018,0.988
600,0.0018,0.9896
50,0.0017,0.9892
100,0.0018,0.9882
150,0.0017,0.9884
200,0.0017,0.991
250,0.0017,0.9888
300,0.0017,0.9902
350,0.0018,0.989
400,0.0017,0.9912
450,0.0017,0.9894
500,0.0018,0.9884
550,0.0018,0.9886
600,0.0017,0.9886
50,0.0017,0.989
100,0.0016,0.99
150,0.0016,0.9914
200,0.0017,0.9906
250,0.0018,0.9882
300,0.0019,0.9866
350,0.0017,0.9876
400,0.0017,0.9898
450,0.0018,0.9882
500,0.0016,0.9888
550,0.0015,0.9906
600,0.0016,0.9902
50,0.0018,0.9874
100,0.0016,0.9904
150,0.0016,0.9912
200,0.0017,0.9896
250,0.0017,0.99
300,0.0017,0.9892
350,0.0016,0.9902
400,0.0016,0.9922
450,0.0018,0.9874
500,0.0016,0.9898
550,0.0016,0.9898
600,0.0016,0.9902
50,0.0016,0.992
100,0.0016,0.99
150,0.0015,0.9908
200,0.0015,0.9908
250,0.0016,0.99
300,0.0016,0.9906
350,0.0016,0.99
400,0.0017,0.9892
450,0.0017,0.9864
500,0.0016,0.9896
550,0.0017,0.9894
600,0.0016,0.9906
50,0.0016,0.9916
100,0.0014,0.9916
150,0.0015,0.9916
200,0.0014,0.994
250,0.0017,0.989
300,0.0016,0.9912
350,0.0016,0.988
400,0.0018,0.9876
450,0.0017,0.9898
500,0.0016,0.9918
550,0.0014,0.9912
600,0.0017,0.9884
50,0.0015,0.9916
100,0.0015,0.9906
150,0.0016,0.9886
200,0.0015,0.9906
250,0.0015,0.9906
300,0.0017,0.9896
350,0.0016,0.991
400,0.0014,0.9936
450,0.0016,0.9892
500,0.0016,0.991
550,0.0017,0.9884
600,0.0015,0.9916
50,0.0015,0.9914
100,0.0015,0.9902
150,0.0015,0.9898
200,0.0014,0.9926
250,0.0014,0.9912
300,0.0017,0.9884
350,0.0016,0.9902
400,0.0015,0.9914
450,0.0016,0.9918
500,0.0014,0.9926
550,0.0014,0.9924
600,0.0017,0.9892
50,0.0015,0.99
100,0.0016,0.9902
150,0.0016,0.992
200,0.0016,0.9888
250,0.0015,0.9908
300,0.0015,0.9916
350,0.0015,0.9908
400,0.0015,0.9912
450,0.0015,0.9914
500,0.0013,0.9938
550,0.0015,0.9908
600,0.0014,0.9918
50,0.0015,0.9916
100,0.0013,0.9934
150,0.0014,0.9932
200,0.0014,0.9918
250,0.0015,0.9904
300,0.0013,0.993
350,0.0015,0.991
400,0.0015,0.9906
450,0.0014,0.994
500,0.0015,0.989
550,0.0016,0.9902
600,0.0016,0.9888
50,0.0014,0.9926
100,0.0014,0.9932
150,0.0015,0.9908
200,0.0014,0.9922
250,0.0014,0.9916
300,0.0016,0.9898
350,0.0013,0.9944
400,0.0014,0.9918
450,0.0015,0.9906
500,0.0014,0.9912
550,0.0014,0.9926
600,0.0015,0.9916
50,0.0014,0.9928
100,0.0012,0.9954
150,0.0014,0.9932
200,0.0015,0.9904
250,0.0014,0.991
300,0.0013,0.9932
350,0.0013,0.9932
400,0.0014,0.9916
450,0.0015,0.992
500,0.0015,0.991
550,0.0016,0.9904
600,0.0015,0.9918
50,0.0013,0.9916
100,0.0014,0.9934
150,0.0013,0.9946
200,0.0014,0.9918
250,0.0015,0.9898
300,0.0013,0.9934
350,0.0014,0.9924
400,0.0015,0.992
450,0.0014,0.9888
500,0.0013,0.9926
550,0.0014,0.9938
600,0.0013,0.9948
50,0.0013,0.9926
100,0.0014,0.9924
150,0.0012,0.9916
200,0.0014,0.9934
250,0.0014,0.992
300,0.0014,0.9928
350,0.0014,0.992
400,0.0012,0.9934
450,0.0013,0.9944
500,0.0015,0.9908
550,0.0014,0.9902
600,0.0014,0.9934
50,0.0013,0.9938
100,0.0014,0.9918
150,0.0013,0.9932
200,0.0014,0.9918
250,0.0014,0.992
300,0.0012,0.9928
350,0.0013,0.992
400,0.0014,0.992
450,0.0013,0.9938
500,0.0013,0.9934
550,0.0013,0.9924
600,0.0014,0.9922
50,0.0013,0.9938
100,0.0013,0.9922
150,0.0013,0.9926
200,0.0013,0.9922
250,0.0014,0.9938
300,0.0013,0.9932
350,0.0013,0.9926
400,0.0014,0.9904
450,0.0013,0.9934
500,0.0013,0.994
550,0.0013,0.9926
600,0.0014,0.9926
50,0.0012,0.9934
100,0.0013,0.9926
150,0.0013,0.993
200,0.0013,0.9938
250,0.0014,0.9924
300,0.0013,0.9938
350,0.0013,0.9936
400,0.0013,0.9934
450,0.0014,0.9914
500,0.0013,0.9926
550,0.0013,0.9928
600,0.0012,0.9928
50,0.0012,0.9936
100,0.0011,0.996
150,0.0013,0.994
200,0.0012,0.9936
