type,middle_layers,learning_rate,weight_decay,momentum
Relu,500,0.008,0.0001,0.9
iter_counter,loss_list,acc_list
50,0.0474,0.1064
100,0.0462,0.1108
150,0.0463,0.1022
200,0.0466,0.1128
250,0.046,0.1068
300,0.0461,0.1232
350,0.0461,0.1284
400,0.0458,0.1354
450,0.0456,0.157
500,0.0436,0.2142
550,0.0422,0.3196
600,0.0401,0.3838
50,0.0384,0.388
100,0.037,0.416
150,0.0361,0.4454
200,0.0346,0.5142
250,0.0333,0.5686
300,0.0324,0.5758
350,0.0315,0.604
400,0.0303,0.6404
450,0.0292,0.6518
500,0.0288,0.6638
550,0.0281,0.6938
600,0.0273,0.7102
50,0.0266,0.704
100,0.0257,0.736
150,0.025,0.7384
200,0.0248,0.7318
250,0.0233,0.761
300,0.0236,0.7396
350,0.0231,0.75
400,0.0227,0.7588
450,0.022,0.7594
500,0.0214,0.7654
550,0.0209,0.77
600,0.0206,0.7658
50,0.0205,0.768
100,0.02,0.77
150,0.0196,0.7786
200,0.0191,0.784
250,0.0187,0.8006
300,0.0185,0.7986
350,0.0188,0.7946
400,0.0177,0.8196
450,0.0174,0.8282
500,0.0173,0.8296
550,0.0167,0.852
600,0.0162,0.8576
50,0.0159,0.8682
100,0.0156,0.87
150,0.0153,0.8712
200,0.0146,0.8802
250,0.0143,0.8826
300,0.0138,0.8928
350,0.0138,0.885
400,0.0133,0.8982
450,0.0129,0.9002
500,0.0129,0.8992
550,0.0126,0.8986
600,0.0126,0.895
50,0.012,0.9028
100,0.0119,0.9066
150,0.0119,0.904
200,0.0119,0.903
250,0.0116,0.9028
300,0.0114,0.904
350,0.0111,0.909
400,0.011,0.9092
450,0.0112,0.9058
500,0.011,0.904
550,0.0111,0.903
600,0.0107,0.9112
50,0.0102,0.9168
100,0.0101,0.9132
150,0.0105,0.9098
200,0.0101,0.919
250,0.0104,0.9126
300,0.0101,0.9138
350,0.01,0.9182
400,0.0104,0.9124
450,0.0102,0.9146
500,0.0101,0.9146
550,0.01,0.9152
600,0.0096,0.9198
50,0.0094,0.9218
100,0.0094,0.9246
150,0.0092,0.9242
200,0.0093,0.9278
250,0.0095,0.9246
300,0.0094,0.9238
350,0.0093,0.9204
400,0.0093,0.9262
450,0.0088,0.9296
500,0.009,0.9264
550,0.0093,0.9214
600,0.0091,0.9274
50,0.0087,0.935
100,0.0088,0.9292
150,0.0089,0.9222
200,0.009,0.9238
250,0.0085,0.9332
300,0.0086,0.9304
350,0.0083,0.9374
400,0.0085,0.934
450,0.0086,0.932
500,0.0083,0.9358
550,0.0081,0.9382
600,0.0088,0.9282
50,0.0084,0.9316
100,0.0084,0.9336
150,0.0083,0.9346
200,0.0082,0.9344
250,0.0078,0.9434
300,0.0082,0.9354
350,0.0081,0.9378
400,0.008,0.941
450,0.0078,0.94
500,0.0079,0.9396
550,0.0081,0.9324
600,0.0076,0.9444
50,0.0079,0.9414
100,0.0078,0.9392
150,0.0075,0.941
200,0.0076,0.9416
250,0.0079,0.9386
300,0.0072,0.9512
350,0.0078,0.9412
400,0.0076,0.9412
450,0.0076,0.941
500,0.0076,0.942
550,0.0074,0.9432
600,0.0074,0.9448
50,0.0074,0.9458
100,0.0072,0.9442
150,0.0075,0.943
200,0.0073,0.944
250,0.0071,0.9504
300,0.0075,0.9452
350,0.0073,0.944
400,0.0072,0.9468
450,0.007,0.9508
500,0.0071,0.9454
550,0.0072,0.9496
600,0.0073,0.9432
50,0.0069,0.9548
100,0.0071,0.9492
150,0.007,0.9478
200,0.007,0.9468
250,0.0072,0.945
300,0.007,0.9504
350,0.007,0.9482
400,0.007,0.9488
450,0.0067,0.9542
500,0.0065,0.9536
550,0.0068,0.9526
600,0.0069,0.9488
50,0.0067,0.9536
100,0.0066,0.9556
150,0.0066,0.9534
200,0.0069,0.9508
250,0.0065,0.954
300,0.0066,0.951
350,0.0067,0.9512
400,0.0065,0.957
450,0.0065,0.957
500,0.0066,0.9542
550,0.0069,0.948
600,0.0065,0.956
50,0.0064,0.9538
100,0.0065,0.9564
150,0.0064,0.9582
200,0.0063,0.957
250,0.0061,0.9594
300,0.0063,0.9584
350,0.0064,0.9564
400,0.006,0.963
450,0.0066,0.9544
500,0.0066,0.9504
550,0.0063,0.9594
600,0.0068,0.9496
50,0.0061,0.962
100,0.0062,0.9574
150,0.0061,0.9556
200,0.0061,0.9582
250,0.0064,0.9562
300,0.0062,0.957
350,0.0062,0.9568
400,0.0062,0.9574
450,0.0064,0.9566
500,0.0062,0.9584
550,0.0061,0.9598
600,0.0059,0.9644
50,0.0059,0.9648
100,0.0057,0.9646
150,0.0058,0.963
200,0.0059,0.9624
250,0.0063,0.956
300,0.0061,0.9606
350,0.0061,0.9556
400,0.0059,0.9596
450,0.006,0.9564
500,0.0059,0.9618
550,0.006,0.9616
600,0.0059,0.9638
50,0.0059,0.9632
100,0.0056,0.966
150,0.0057,0.9634
200,0.0056,0.9674
250,0.0057,0.9624
300,0.0059,0.9586
350,0.0059,0.9632
400,0.0056,0.9624
450,0.006,0.9584
500,0.0059,0.9622
550,0.0056,0.9668
600,0.006,0.9588
50,0.0058,0.9626
100,0.0058,0.9614
150,0.0057,0.9636
200,0.0054,0.966
250,0.0056,0.9652
300,0.0057,0.9598
350,0.0056,0.9626
400,0.0057,0.9664
450,0.0057,0.9636
500,0.0053,0.9688
550,0.0056,0.965
600,0.0055,0.968
50,0.0056,0.9648
100,0.0058,0.9606
150,0.0055,0.968
200,0.0054,0.967
250,0.0056,0.9652
300,0.0052,0.9672
350,0.0054,0.9652
400,0.0054,0.9676
450,0.0054,0.9688
500,0.0055,0.9692
550,0.0052,0.967
600,0.0055,0.9648
50,0.0054,0.9698
100,0.0052,0.9708
150,0.0052,0.9672
200,0.0052,0.9708
250,0.0053,0.9676
300,0.0055,0.9652
350,0.0054,0.9682
400,0.0054,0.9642
450,0.0053,0.9688
500,0.0054,0.9664
550,0.0051,0.9694
600,0.0054,0.966
50,0.0052,0.9682
100,0.0053,0.966
150,0.0051,0.9658
200,0.005,0.974
250,0.0053,0.9698
300,0.0052,0.964
350,0.0052,0.9668
400,0.0052,0.9684
450,0.0051,0.9706
500,0.005,0.9702
550,0.0049,0.97
600,0.0053,0.9694
50,0.0049,0.9708
100,0.0051,0.9686
150,0.005,0.9714
200,0.0051,0.969
250,0.0053,0.9668
300,0.0049,0.9692
350,0.005,0.9718
400,0.0048,0.9728
450,0.005,0.9704
