type,middle_layers,learning_rate,weight_decay,momentum
Relu,500,0.01,0.0001,0.9
iter_counter,loss_list,acc_list
50,0.0477,0.0992
100,0.0465,0.1006
150,0.047,0.1088
200,0.0464,0.1136
250,0.0466,0.107
300,0.0459,0.1176
350,0.0456,0.1372
400,0.0451,0.1638
450,0.0439,0.2298
500,0.0414,0.318
550,0.0388,0.363
600,0.0375,0.417
50,0.0363,0.4628
100,0.0341,0.5244
150,0.0329,0.5484
200,0.0318,0.5962
250,0.0309,0.6258
300,0.0292,0.6614
350,0.0285,0.6958
400,0.0276,0.7096
450,0.0262,0.7338
500,0.0258,0.7418
550,0.0249,0.7398
600,0.0243,0.7458
50,0.0237,0.751
100,0.0226,0.77
150,0.0226,0.7584
200,0.0221,0.7636
250,0.0207,0.7794
300,0.0204,0.7832
350,0.0198,0.7932
400,0.0195,0.7976
450,0.0192,0.8074
500,0.0185,0.8176
550,0.0176,0.8366
600,0.0177,0.8402
50,0.0172,0.8482
100,0.0163,0.8686
150,0.0158,0.8728
200,0.0157,0.8686
250,0.0153,0.8836
300,0.0147,0.8776
350,0.0144,0.885
400,0.0141,0.8858
450,0.0133,0.8946
500,0.0129,0.8988
550,0.013,0.893
600,0.0126,0.9002
50,0.0125,0.9022
100,0.0124,0.8982
150,0.0121,0.902
200,0.0121,0.899
250,0.0113,0.91
300,0.0113,0.9042
350,0.0111,0.91
400,0.0113,0.905
450,0.0118,0.8966
500,0.0104,0.9148
550,0.011,0.908
600,0.0106,0.912
50,0.0106,0.9158
100,0.0104,0.9164
150,0.0103,0.9122
200,0.0101,0.9218
250,0.0097,0.9234
300,0.0097,0.9166
350,0.0099,0.914
400,0.01,0.9142
450,0.0099,0.9212
500,0.0098,0.9158
550,0.0099,0.9206
600,0.0097,0.9232
50,0.0093,0.9226
100,0.0093,0.9252
150,0.0092,0.929
200,0.009,0.9308
250,0.009,0.9244
300,0.009,0.9248
350,0.0089,0.9286
400,0.009,0.928
450,0.0085,0.9336
500,0.0087,0.9284
550,0.009,0.926
600,0.0087,0.9318
50,0.0088,0.9296
100,0.0085,0.9338
150,0.0085,0.9324
200,0.0083,0.936
250,0.0084,0.9348
300,0.0083,0.9336
350,0.0083,0.9316
400,0.0082,0.9416
450,0.0083,0.9362
500,0.0084,0.9328
550,0.0081,0.9382
600,0.0079,0.9388
50,0.0078,0.9386
100,0.0079,0.9412
150,0.0079,0.9378
200,0.0079,0.9396
250,0.0077,0.9432
300,0.008,0.9368
350,0.0079,0.936
400,0.0079,0.9428
450,0.0081,0.9386
500,0.0077,0.943
550,0.0074,0.9448
600,0.007,0.948
50,0.0075,0.9446
100,0.0072,0.95
150,0.0071,0.9494
200,0.0069,0.95
250,0.0073,0.9462
300,0.0072,0.9492
350,0.0074,0.9466
400,0.0074,0.944
450,0.0073,0.9438
500,0.0074,0.9422
550,0.0072,0.9476
600,0.0071,0.9478
50,0.0067,0.9514
100,0.0069,0.951
150,0.0071,0.9498
200,0.0071,0.9476
250,0.0069,0.9484
300,0.007,0.9466
350,0.0068,0.9536
400,0.0072,0.949
450,0.0066,0.9562
500,0.0066,0.9576
550,0.0069,0.9492
600,0.0069,0.9512
50,0.0065,0.9546
100,0.0067,0.9534
150,0.0066,0.9552
200,0.0064,0.955
250,0.0069,0.9468
300,0.0067,0.9498
350,0.0063,0.9608
400,0.0065,0.9558
450,0.0069,0.9472
500,0.0064,0.9572
550,0.0063,0.958
600,0.0063,0.9584
50,0.0064,0.956
100,0.0063,0.96
150,0.0065,0.9548
200,0.0061,0.958
250,0.0061,0.9624
300,0.0062,0.9608
350,0.0064,0.955
400,0.0061,0.9602
450,0.0064,0.956
500,0.0063,0.956
550,0.0061,0.9568
600,0.0063,0.958
50,0.0065,0.9564
100,0.0062,0.9574
150,0.0059,0.962
200,0.0058,0.9594
250,0.0059,0.9626
300,0.006,0.962
350,0.006,0.96
400,0.006,0.9606
450,0.0062,0.9608
