type,middle_layers,learning_rate,weight_decay,momentum
Relu,400,0.012,0.0001,0.9
iter_counter,loss_list,acc_list
50,0.0485,0.1252
100,0.0432,0.2574
150,0.0365,0.5076
200,0.0324,0.6054
250,0.0298,0.685
300,0.0278,0.7324
350,0.0264,0.7498
400,0.0256,0.7676
450,0.0249,0.7754
500,0.024,0.794
550,0.0238,0.798
600,0.0237,0.8064
50,0.0233,0.8208
100,0.0229,0.8208
150,0.0223,0.827
200,0.0223,0.8348
250,0.0226,0.8276
300,0.0223,0.8344
350,0.0219,0.8368
400,0.023,0.8266
450,0.0221,0.8328
500,0.0221,0.835
550,0.0219,0.8348
600,0.0221,0.8316
50,0.0214,0.8348
100,0.0218,0.8318
150,0.0216,0.8352
200,0.0216,0.8432
250,0.0211,0.8442
300,0.0213,0.8418
350,0.0219,0.8364
400,0.0212,0.8466
450,0.0215,0.8318
500,0.0207,0.8546
550,0.021,0.8494
600,0.0215,0.8438
50,0.021,0.8484
100,0.0209,0.8472
150,0.0204,0.8514
200,0.0207,0.8536
250,0.0206,0.8442
300,0.0206,0.8436
350,0.0207,0.8424
400,0.0205,0.8494
450,0.0205,0.848
500,0.0201,0.859
550,0.0206,0.8552
600,0.0203,0.8478
50,0.0205,0.8484
100,0.02,0.8536
150,0.0202,0.8526
200,0.0197,0.8538
250,0.0197,0.8528
300,0.0199,0.8546
350,0.0197,0.8626
400,0.0194,0.8588
450,0.0189,0.8576
500,0.0189,0.8668
550,0.0192,0.8588
600,0.0188,0.8706
50,0.0188,0.8658
100,0.0189,0.8608
150,0.0191,0.8526
200,0.0183,0.8632
250,0.0183,0.866
300,0.0184,0.8676
350,0.0181,0.865
400,0.0182,0.863
450,0.0178,0.8676
500,0.0174,0.8738
550,0.0176,0.8646
600,0.0173,0.8766
50,0.0175,0.8672
100,0.0172,0.8728
150,0.0172,0.8708
200,0.0168,0.8782
250,0.0164,0.8798
300,0.0161,0.8816
350,0.0166,0.8754
400,0.0157,0.8864
450,0.0159,0.8868
500,0.0158,0.8802
550,0.0157,0.8836
600,0.0153,0.8832
50,0.0151,0.8868
100,0.0151,0.8846
150,0.0154,0.8802
200,0.0151,0.882
250,0.0146,0.8916
300,0.0144,0.895
350,0.0144,0.8882
400,0.0143,0.8986
450,0.0141,0.8926
500,0.014,0.8932
550,0.0137,0.9008
600,0.0139,0.8878
50,0.0134,0.9018
100,0.0137,0.8914
150,0.0134,0.8946
200,0.0136,0.8932
250,0.0134,0.8914
300,0.0131,0.8996
350,0.0126,0.9036
400,0.013,0.899
450,0.0128,0.8976
500,0.0129,0.8974
550,0.0128,0.9028
600,0.0125,0.904
50,0.0123,0.9032
100,0.0125,0.8986
150,0.0123,0.8998
200,0.0123,0.903
250,0.0124,0.9006
300,0.0119,0.9054
350,0.0119,0.9062
400,0.0121,0.9006
450,0.0119,0.9032
500,0.0114,0.9132
550,0.0122,0.8998
600,0.0117,0.904
50,0.0116,0.9056
100,0.0114,0.91
150,0.0116,0.9022
200,0.0118,0.9008
250,0.0112,0.907
300,0.0113,0.9148
350,0.0115,0.9034
400,0.0115,0.9054
450,0.0113,0.9064
500,0.011,0.9116
550,0.0109,0.9082
600,0.0107,0.9138
50,0.0108,0.9086
100,0.0109,0.9072
150,0.0108,0.9124
200,0.0109,0.9084
250,0.0105,0.9188
300,0.0107,0.911
350,0.0105,0.9168
400,0.0105,0.912
450,0.0108,0.9106
500,0.0109,0.9068
550,0.0107,0.9082
600,0.0103,0.9112
50,0.0102,0.9126
100,0.0106,0.91
150,0.0104,0.91
200,0.0103,0.9162
250,0.01,0.9172
300,0.0104,0.9114
350,0.0102,0.914
400,0.01,0.9196
450,0.0103,0.9146
500,0.0101,0.9134
550,0.0102,0.914
600,0.0101,0.9138
50,0.0102,0.9112
100,0.0099,0.9174
150,0.01,0.9172
200,0.0101,0.9126
250,0.0095,0.9222
300,0.01,0.9158
350,0.0097,0.9204
400,0.0099,0.9164
450,0.0095,0.9186
500,0.0102,0.9136
550,0.0098,0.9132
600,0.0095,0.9224
50,0.0099,0.9176
100,0.0095,0.9216
150,0.0094,0.9208
200,0.0095,0.921
250,0.0098,0.9144
300,0.0092,0.9226
350,0.0095,0.9184
400,0.0098,0.9118
450,0.0095,0.9192
500,0.0093,0.9206
550,0.0095,0.9086
600,0.0092,0.9212
50,0.0094,0.9204
100,0.0091,0.9208
150,0.0093,0.9142
200,0.0094,0.9184
250,0.0091,0.9238
300,0.0093,0.9226
350,0.0091,0.9218
400,0.0093,0.9206
450,0.0092,0.9202
500,0.0094,0.9146
550,0.0089,0.9232
600,0.0093,0.9176
50,0.0089,0.9314
100,0.0089,0.9226
150,0.0089,0.9226
200,0.0095,0.9132
250,0.0092,0.9156
300,0.0088,0.9232
350,0.0089,0.9206
400,0.0089,0.925
450,0.0088,0.9188
500,0.009,0.9232
550,0.0089,0.9212
600,0.009,0.9186
50,0.009,0.9228
100,0.0093,0.9166
150,0.0087,0.9206
200,0.0085,0.9264
250,0.0088,0.9228
300,0.0088,0.9202
350,0.0086,0.925
400,0.0087,0.9234
450,0.0089,0.9206
500,0.0087,0.928
550,0.0086,0.9246
600,0.0086,0.9232
50,0.0083,0.9262
100,0.0087,0.9236
150,0.0086,0.926
