type,middle_layers,learning_rate,weight_decay,momentum
Relu,500,0.02,0.0001,0.9
iter_counter,loss_list,acc_list
50,0.0456,0.0952
100,0.045,0.1044
150,0.0449,0.1098
200,0.0447,0.1424
250,0.0443,0.2464
300,0.0428,0.2904
350,0.0395,0.3446
400,0.0367,0.4048
450,0.0347,0.4858
500,0.0327,0.5352
550,0.03,0.586
600,0.0287,0.6168
50,0.0263,0.663
100,0.0245,0.7028
150,0.0224,0.7326
200,0.0217,0.752
250,0.0204,0.7724
300,0.0192,0.7966
350,0.0183,0.8096
400,0.0184,0.8082
450,0.017,0.8386
500,0.0162,0.8536
550,0.0162,0.8576
600,0.0149,0.8698
50,0.015,0.8768
100,0.0144,0.8748
150,0.0138,0.8812
200,0.0131,0.8882
250,0.0135,0.8816
300,0.0128,0.8894
350,0.0121,0.8956
400,0.0126,0.8862
450,0.0125,0.8876
500,0.012,0.891
550,0.0118,0.8934
600,0.012,0.8948
50,0.0118,0.8902
100,0.0118,0.895
150,0.0117,0.891
200,0.0115,0.8878
250,0.0115,0.8924
300,0.0111,0.8994
350,0.0106,0.9036
400,0.0108,0.9028
450,0.0107,0.9012
500,0.0106,0.9034
550,0.0105,0.9022
600,0.0106,0.9028
50,0.0105,0.9058
100,0.0103,0.9116
150,0.0105,0.9018
200,0.0103,0.905
250,0.0105,0.9006
300,0.0101,0.904
350,0.0098,0.9108
400,0.01,0.9072
450,0.0102,0.9022
500,0.0104,0.9044
550,0.0102,0.9026
600,0.0099,0.9086
50,0.0103,0.9054
100,0.0098,0.907
150,0.0098,0.907
200,0.01,0.9054
250,0.0097,0.9098
300,0.0095,0.9124
350,0.0097,0.9098
400,0.0091,0.9156
450,0.0096,0.9046
500,0.0091,0.9186
550,0.0096,0.9092
600,0.0094,0.9104
50,0.0096,0.914
100,0.0091,0.9132
150,0.0092,0.9166
200,0.0093,0.914
250,0.0092,0.9156
300,0.0095,0.9124
350,0.0089,0.9216
400,0.0092,0.9116
450,0.0095,0.9158
500,0.0091,0.9192
550,0.0091,0.9172
600,0.0093,0.9128
50,0.0088,0.9198
100,0.0085,0.9248
150,0.0089,0.9194
200,0.0091,0.9154
250,0.0089,0.9166
300,0.0095,0.9104
350,0.0086,0.9252
400,0.0087,0.9188
450,0.0085,0.9214
500,0.0086,0.9182
550,0.009,0.9164
600,0.0087,0.9176
50,0.0088,0.9174
100,0.0087,0.9204
150,0.0088,0.9202
200,0.0087,0.9196
250,0.0085,0.9204
300,0.0084,0.925
350,0.0083,0.925
400,0.0086,0.9186
450,0.0085,0.9214
500,0.0082,0.9216
550,0.0081,0.9236
600,0.0086,0.9192
50,0.0086,0.922
100,0.0084,0.9234
150,0.0083,0.9196
200,0.0084,0.9216
250,0.0083,0.9224
300,0.008,0.9264
350,0.0083,0.9204
400,0.0079,0.9282
450,0.008,0.9268
500,0.008,0.9286
550,0.008,0.9274
600,0.0083,0.9184
50,0.0084,0.9198
100,0.0077,0.9306
150,0.0082,0.9262
200,0.008,0.9232
250,0.0081,0.9258
300,0.008,0.9262
350,0.0081,0.924
400,0.0078,0.9274
450,0.0079,0.9254
500,0.0074,0.9368
550,0.0077,0.9344
600,0.0081,0.9228
50,0.0081,0.9266
100,0.0077,0.9284
150,0.0074,0.9354
200,0.0077,0.9308
250,0.0077,0.9314
300,0.0081,0.9244
350,0.0081,0.9232
400,0.0076,0.9328
450,0.0075,0.9326
500,0.0072,0.9372
550,0.0075,0.9322
600,0.0075,0.9292
50,0.0077,0.9282
100,0.0073,0.934
150,0.008,0.925
200,0.0073,0.9368
250,0.0074,0.9334
300,0.007,0.9406
350,0.0075,0.9268
400,0.0075,0.9284
450,0.007,0.9372
500,0.0074,0.932
550,0.0073,0.9364
600,0.0074,0.9346
50,0.0073,0.9382
100,0.0072,0.9318
150,0.0075,0.932
200,0.0074,0.9346
250,0.0077,0.929
300,0.0075,0.9318
350,0.0067,0.942
400,0.007,0.9416
450,0.0072,0.9338
500,0.0069,0.9364
550,0.0073,0.933
600,0.0069,0.9404
50,0.0071,0.9332
100,0.0073,0.934
150,0.0071,0.9356
200,0.007,0.9364
250,0.007,0.9362
300,0.0069,0.9394
350,0.0068,0.9396
400,0.0072,0.9322
450,0.0072,0.933
500,0.0067,0.941
550,0.0068,0.9394
600,0.0069,0.9384
50,0.0069,0.9384
100,0.0069,0.9386
150,0.0067,0.9418
200,0.0072,0.9288
250,0.0067,0.9404
300,0.0068,0.9406
350,0.0067,0.9422
400,0.0067,0.9398
450,0.0067,0.9422
500,0.0065,0.9406
550,0.0067,0.9424
600,0.0065,0.9402
50,0.0067,0.942
100,0.0067,0.9396
150,0.0064,0.9448
200,0.0066,0.9398
250,0.0069,0.9374
300,0.0067,0.94
350,0.0062,0.9486
400,0.0063,0.9452
450,0.0065,0.9406
500,0.0065,0.942
550,0.0064,0.9446
600,0.0064,0.9412
50,0.0064,0.9414
100,0.0064,0.9438
150,0.0066,0.9392
200,0.0065,0.9406
250,0.0064,0.9436
300,0.0059,0.9494
350,0.0064,0.9438
400,0.0061,0.9484
450,0.0063,0.9472
500,0.0064,0.945
550,0.0063,0.943
600,0.0064,0.9428
50,0.0067,0.9346
100,0.0062,0.9458
150,0.0059,0.953
200,0.0062,0.9444
250,0.0061,0.9474
300,0.0061,0.9476
350,0.0059,0.9502
400,0.0063,0.9414
450,0.0059,0.948
500,0.0063,0.94
550,0.006,0.9456
600,0.0063,0.9452
50,0.0063,0.9448
100,0.006,0.95
150,0.0058,0.95
200,0.0063,0.9416
250,0.0056,0.9554
300,0.0061,0.9436
350,0.0061,0.9452
400,0.0061,0.945
450,0.0059,0.9496
500,0.006,0.9468
550,0.0056,0.9526
600,0.006,0.948
50,0.006,0.9446
100,0.0058,0.9472
150,0.0057,0.9518
200,0.0059,0.9466
250,0.0059,0.948
300,0.0057,0.954
350,0.0059,0.9502
400,0.0057,0.9524
450,0.0059,0.9484
500,0.006,0.9472
550,0.0055,0.9516
600,0.0057,0.9502
50,0.0058,0.9482
100,0.0056,0.9512
150,0.0059,0.9486
200,0.0056,0.9556
250,0.0058,0.9478
300,0.0056,0.9558
350,0.0055,0.955
400,0.0056,0.9482
450,0.0056,0.9532
500,0.0058,0.9478
550,0.0055,0.9514
600,0.0054,0.9538
50,0.0055,0.9552
100,0.0053,0.9538
150,0.0054,0.9528
200,0.0053,0.9556
250,0.0053,0.9544
300,0.0056,0.9546
350,0.0056,0.955
400,0.0059,0.9462
450,0.0056,0.9502
500,0.0056,0.952
550,0.0054,0.954
600,0.0054,0.9494
50,0.0055,0.9524
100,0.0055,0.9528
150,0.0054,0.9526
200,0.0055,0.9526
250,0.0053,0.9592
300,0.0053,0.9566
350,0.0054,0.9562
400,0.0053,0.9536
450,0.0053,0.9554
500,0.0053,0.9546
550,0.0054,0.9526
600,0.0056,0.9498
50,0.0051,0.9602
100,0.0053,0.9546
150,0.0052,0.9558
200,0.0053,0.9558
250,0.0052,0.9562
300,0.0053,0.949
350,0.0056,0.951
400,0.0053,0.9558
450,0.0054,0.9508
500,0.0053,0.9544
550,0.0048,0.9606
600,0.0052,0.955
50,0.005,0.9548
100,0.0053,0.9556
150,0.0054,0.9514
200,0.0049,0.958
250,0.005,0.9584
300,0.005,0.9584
350,0.0052,0.9546
400,0.0052,0.9548
450,0.0051,0.9574
500,0.005,0.9608
550,0.0053,0.9516
600,0.0048,0.9608
50,0.0051,0.9562
100,0.005,0.9572
150,0.0051,0.9564
200,0.0049,0.9594
250,0.0051,0.9544
300,0.0052,0.9572
350,0.0048,0.9608
400,0.0048,0.9594
450,0.0053,0.9502
500,0.0047,0.9634
550,0.0049,0.9588
600,0.0049,0.9578
50,0.0051,0.958
100,0.0049,0.9594
150,0.0049,0.9594
200,0.005,0.9544
250,0.005,0.9604
300,0.005,0.9568
350,0.0049,0.9566
400,0.0048,0.9602
450,0.005,0.9572
500,0.0048,0.9598
550,0.0048,0.9564
600,0.0048,0.961
50,0.0046,0.9594
100,0.005,0.9572
150,0.0048,0.957
200,0.005,0.9588
250,0.0047,0.9602
300,0.0049,0.9568
350,0.0047,0.964
400,0.0048,0.9602
450,0.0047,0.96
500,0.0048,0.96
550,0.0046,0.9636
600,0.0047,0.961
50,0.0047,0.9574
100,0.0045,0.9642
150,0.0047,0.9602
200,0.0049,0.9542
250,0.0049,0.9598
300,0.0045,0.9628
350,0.0046,0.9644
400,0.0046,0.96
450,0.0047,0.9586
500,0.0049,0.9556
550,0.0045,0.9616
600,0.0047,0.9602
50,0.0046,0.9632
100,0.0045,0.96
150,0.0046,0.9592
200,0.0046,0.9582
250,0.0046,0.9606
300,0.0046,0.9602
