type,middle_layers,learning_rate,weight_decay,momentum
Relu,500,0.025,0.0001,0.9
iter_counter,loss_list,acc_list
50,0.0506,0.0994
100,0.0499,0.1096
150,0.0478,0.1008
200,0.0474,0.1084
250,0.0462,0.092
300,0.046,0.1012
350,0.0461,0.1044
400,0.046,0.1044
450,0.0455,0.1052
500,0.0454,0.111
550,0.0455,0.1168
600,0.0451,0.113
50,0.045,0.1174
100,0.045,0.1444
150,0.0449,0.1406
200,0.0447,0.1572
250,0.0445,0.1636
300,0.0439,0.2192
350,0.0434,0.2548
400,0.0424,0.2794
450,0.0418,0.2854
500,0.0412,0.283
550,0.0404,0.3142
600,0.04,0.3198
50,0.0388,0.3406
100,0.0379,0.3656
150,0.0374,0.386
200,0.0363,0.4212
250,0.0356,0.4654
300,0.0348,0.5006
350,0.0346,0.503
400,0.0344,0.508
450,0.0341,0.517
500,0.0341,0.5244
550,0.0338,0.5462
600,0.0335,0.5462
50,0.0325,0.5672
100,0.0318,0.5802
150,0.0314,0.5866
200,0.0305,0.6078
250,0.0305,0.6212
300,0.03,0.636
350,0.0298,0.6392
400,0.0288,0.6602
450,0.0287,0.6652
500,0.0284,0.6706
550,0.0281,0.6874
600,0.0283,0.6798
50,0.0271,0.7146
100,0.027,0.7168
150,0.0264,0.7176
200,0.0264,0.7204
250,0.0261,0.7206
300,0.0259,0.7304
350,0.0254,0.7394
400,0.0252,0.7352
450,0.025,0.736
500,0.0246,0.7336
550,0.0239,0.7472
600,0.0239,0.742
50,0.0234,0.7394
100,0.0232,0.735
150,0.023,0.7472
200,0.0224,0.7546
250,0.0227,0.7422
300,0.0226,0.7456
350,0.0219,0.7526
400,0.0216,0.7504
450,0.0212,0.7578
500,0.0212,0.76
550,0.0209,0.7548
600,0.0207,0.7674
50,0.0207,0.7598
100,0.0205,0.7644
150,0.0196,0.7712
200,0.0201,0.77
250,0.0195,0.7764
300,0.0194,0.7856
350,0.0194,0.784
400,0.0192,0.7948
450,0.0186,0.806
500,0.0186,0.8056
550,0.0186,0.8074
600,0.0178,0.8198
50,0.0178,0.834
100,0.0171,0.8418
150,0.0173,0.842
200,0.0173,0.8468
250,0.017,0.8538
300,0.0168,0.8572
350,0.0167,0.862
400,0.0161,0.8686
450,0.0161,0.8696
500,0.0159,0.8686
550,0.0155,0.8766
600,0.015,0.879
50,0.015,0.8838
100,0.0145,0.8818
150,0.0146,0.8816
200,0.0144,0.8808
250,0.0145,0.8822
300,0.014,0.8866
350,0.0138,0.8842
400,0.014,0.8804
450,0.0137,0.8874
500,0.0137,0.8782
550,0.0135,0.8842
600,0.0131,0.8904
50,0.0133,0.8864
100,0.0129,0.894
150,0.013,0.8838
200,0.0128,0.8908
250,0.0125,0.8898
300,0.0122,0.8942
350,0.0126,0.8866
400,0.0122,0.891
450,0.0122,0.8872
500,0.0122,0.8902
550,0.0119,0.9008
600,0.0119,0.8958
50,0.0117,0.8918
100,0.0116,0.899
150,0.0118,0.8962
200,0.0117,0.8928
250,0.0116,0.8988
300,0.0117,0.891
350,0.0118,0.8874
400,0.0111,0.9012
450,0.0115,0.892
500,0.0108,0.9026
550,0.0112,0.9028
600,0.0113,0.8958
50,0.0108,0.9038
100,0.0109,0.8964
150,0.0105,0.9074
200,0.0111,0.8918
250,0.0111,0.895
300,0.0109,0.9
350,0.0108,0.8992
400,0.011,0.896
450,0.0105,0.9046
500,0.0109,0.8968
550,0.0106,0.9066
600,0.0108,0.8994
50,0.0109,0.8976
100,0.0106,0.8982
150,0.0099,0.9132
200,0.0105,0.8944
250,0.0104,0.8984
300,0.0102,0.9066
350,0.0102,0.905
400,0.0103,0.9024
450,0.0102,0.9052
500,0.0105,0.9006
550,0.0098,0.9058
600,0.0101,0.9012
50,0.0098,0.9074
100,0.0101,0.9048
150,0.0101,0.9044
200,0.0103,0.8984
250,0.0097,0.9048
300,0.0103,0.8972
350,0.0104,0.8944
400,0.0096,0.909
450,0.0099,0.9038
500,0.0097,0.9064
550,0.0096,0.91
600,0.0094,0.9132
50,0.0096,0.907
100,0.0096,0.9118
150,0.0094,0.9108
200,0.0099,0.903
250,0.0093,0.911
300,0.0095,0.9068
350,0.0096,0.9068
400,0.0096,0.9068
450,0.0095,0.901
500,0.0096,0.9024
550,0.0095,0.9058
600,0.0097,0.9032
50,0.0096,0.8996
100,0.0095,0.9074
150,0.0097,0.9042
200,0.0093,0.9094
250,0.0095,0.9056
300,0.009,0.9116
350,0.0091,0.911
400,0.0093,0.9022
450,0.0092,0.9082
500,0.0091,0.9104
550,0.009,0.9092
600,0.0092,0.91
50,0.0095,0.9088
100,0.0087,0.9126
150,0.0091,0.9074
200,0.0088,0.914
250,0.0091,0.9094
